epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2851,1.25581,3.66107,0.00375,0.00946,0.96154,0.01207,0.00805,0.85681,3.96074,0.0039,0.000652482,0.000652482,0.000652482
2,22.2433,1.13765,2.43174,0.00338,0.8515,0.62454,0.80639,0.59205,0.95281,2.50468,0.00422,0.00130609,0.00130609,0.00130609
3,28.1378,1.14705,1.79787,0.00336,0.79789,0.78811,0.86682,0.6294,0.9343,1.49309,0.0042,0.0019465,0.0019465,0.0019465
4,34.0215,1.04856,1.41929,0.00308,0.85957,0.79597,0.90171,0.65146,1.00034,1.03194,0.0047,0.0019406,0.0019406,0.0019406
5,39.9046,1.03154,1.21325,0.00304,0.83785,0.83282,0.91686,0.69616,0.8886,0.76378,0.00405,0.0019208,0.0019208,0.0019208
6,45.7523,1.04538,1.05905,0.003,0.86808,0.84363,0.93402,0.69521,0.96002,0.56885,0.00423,0.001901,0.001901,0.001901
7,51.5778,1.01135,0.95646,0.00294,0.88086,0.88278,0.94962,0.69241,0.98155,0.5695,0.00448,0.0018812,0.0018812,0.0018812
8,57.4149,0.97998,0.83655,0.00288,0.86112,0.88462,0.92993,0.70535,0.85576,0.53944,0.00385,0.0018614,0.0018614,0.0018614
9,63.3621,1.01954,0.75083,0.00293,0.8967,0.89028,0.94114,0.73662,0.80145,0.4994,0.00363,0.0018416,0.0018416,0.0018416
10,69.2466,0.97639,0.70317,0.00281,0.90076,0.8811,0.95004,0.72033,0.93123,0.49329,0.00412,0.0018218,0.0018218,0.0018218
11,75.047,0.95159,0.68433,0.00276,0.88203,0.90382,0.95513,0.75065,0.787,0.47954,0.00355,0.001802,0.001802,0.001802
12,80.8741,0.9746,0.65657,0.0029,0.89414,0.91273,0.94437,0.71957,0.82224,0.46489,0.00369,0.0017822,0.0017822,0.0017822
13,86.6941,0.96715,0.64169,0.00287,0.91014,0.89044,0.95617,0.75434,0.77974,0.45573,0.00354,0.0017624,0.0017624,0.0017624
14,92.5295,0.90416,0.57327,0.00263,0.91614,0.92043,0.96505,0.77657,0.75311,0.40713,0.0034,0.0017426,0.0017426,0.0017426
15,98.3717,0.91968,0.55175,0.00265,0.9077,0.91863,0.9599,0.74834,0.82319,0.43362,0.00362,0.0017228,0.0017228,0.0017228
16,104.206,0.93487,0.53941,0.0027,0.9031,0.9011,0.95799,0.73632,0.87498,0.44774,0.00409,0.001703,0.001703,0.001703
17,110.036,0.89144,0.54807,0.00257,0.92423,0.90476,0.95643,0.75023,0.79546,0.43956,0.00362,0.0016832,0.0016832,0.0016832
18,115.855,0.87855,0.48726,0.00252,0.92728,0.8956,0.96146,0.76591,0.79125,0.40577,0.00356,0.0016634,0.0016634,0.0016634
