epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.794,1.25969,2.56037,0.00385,0.86744,0.87546,0.92593,0.67893,0.99404,0.73446,0.00449,0.000652482,0.000652482,0.000652482
2,42.463,1.11583,0.69753,0.00337,0.81064,0.82967,0.88465,0.6104,1.03891,0.79378,0.005,0.00130609,0.00130609,0.00130609
3,59.9693,1.22075,0.67033,0.00374,0.79963,0.74554,0.81597,0.50884,1.32838,1.1091,0.00618,0.0019465,0.0019465,0.0019465
4,77.7898,1.15526,0.6073,0.00353,0.89637,0.87546,0.94267,0.70722,0.89005,0.68,0.00409,0.0019406,0.0019406,0.0019406
5,95.9139,1.10651,0.5244,0.00336,0.87382,0.8663,0.9317,0.64416,1.04098,0.59058,0.00493,0.0019208,0.0019208,0.0019208
6,113.979,1.14691,0.5557,0.00343,0.89898,0.91275,0.95814,0.71149,0.95584,0.4957,0.00441,0.001901,0.001901,0.001901
7,131.969,1.09266,0.53998,0.00331,0.89838,0.87729,0.95256,0.70725,0.88055,0.51088,0.00404,0.0018812,0.0018812,0.0018812
8,149.901,1.05988,0.49311,0.00323,0.91466,0.92261,0.95841,0.70441,0.95014,0.65965,0.00434,0.0018614,0.0018614,0.0018614
9,167.808,0.96812,0.44731,0.00282,0.9024,0.9011,0.94676,0.69685,0.97038,0.45953,0.00428,0.0018416,0.0018416,0.0018416
10,185.736,0.96186,0.44017,0.0028,0.92425,0.91627,0.96477,0.74659,0.80133,0.38961,0.00371,0.0018218,0.0018218,0.0018218
11,203.722,0.96607,0.46196,0.00287,0.91521,0.9291,0.96355,0.74291,0.82661,0.45277,0.00381,0.001802,0.001802,0.001802
12,221.671,0.95829,0.47684,0.00289,0.93823,0.89018,0.96075,0.7163,0.92572,0.46099,0.00426,0.0017822,0.0017822,0.0017822
13,239.566,0.96921,0.45037,0.00294,0.93675,0.92226,0.97853,0.76572,0.81598,0.40234,0.00376,0.0017624,0.0017624,0.0017624
14,257.595,0.91899,0.40606,0.00272,0.92226,0.92674,0.9661,0.72861,0.91077,0.44558,0.00399,0.0017426,0.0017426,0.0017426
15,275.497,0.92563,0.40311,0.00272,0.89432,0.94322,0.96414,0.75504,0.82597,0.42124,0.00381,0.0017228,0.0017228,0.0017228
16,293.469,0.91604,0.4128,0.00271,0.91467,0.92491,0.96727,0.77843,0.75647,0.40062,0.00346,0.001703,0.001703,0.001703
17,311.444,0.88569,0.4082,0.00261,0.94968,0.93327,0.97872,0.75586,0.86853,0.36479,0.00392,0.0016832,0.0016832,0.0016832
18,329.37,0.87216,0.37744,0.00255,0.94683,0.93223,0.9776,0.79559,0.76767,0.34899,0.00349,0.0016634,0.0016634,0.0016634
19,347.379,0.94061,0.41612,0.0028,0.92045,0.95361,0.96889,0.7784,0.75971,0.35729,0.00343,0.0016436,0.0016436,0.0016436
20,365.336,0.85701,0.38488,0.00251,0.93063,0.91758,0.96916,0.77159,0.77296,0.39516,0.00345,0.0016238,0.0016238,0.0016238
21,383.234,0.85496,0.36926,0.00253,0.90872,0.95238,0.96991,0.75925,0.78093,0.38603,0.00354,0.001604,0.001604,0.001604
22,401.238,0.89872,0.4088,0.00252,0.91041,0.94923,0.9674,0.73933,0.88938,0.41314,0.00405,0.0015842,0.0015842,0.0015842
23,419.142,0.88574,0.38439,0.00255,0.95648,0.92591,0.97266,0.78814,0.75256,0.35757,0.00341,0.0015644,0.0015644,0.0015644
24,437.071,0.8631,0.38792,0.00253,0.92012,0.92674,0.96463,0.76288,0.79962,0.4095,0.00369,0.0015446,0.0015446,0.0015446
25,454.955,0.85619,0.37266,0.00255,0.92558,0.93387,0.96798,0.78298,0.76181,0.3606,0.00341,0.0015248,0.0015248,0.0015248
26,472.953,0.87935,0.40521,0.00258,0.94232,0.9276,0.97614,0.7751,0.77817,0.35113,0.00354,0.001505,0.001505,0.001505
27,490.861,0.86755,0.38494,0.00258,0.95224,0.91941,0.97933,0.78909,0.73894,0.34896,0.00335,0.0014852,0.0014852,0.0014852
